flight_id,airline,source,destination,route,departure_time,arrival_time,departure_date,departure_hour,duration_minutes,overnight_flight,anomaly_flag,data_quality_status
6F099,IndiGo,MAA,DEL,MAA → DEL,24:41.7,59:41.7,4/20/2026,22,35,FALSE,FALSE,Valid
AI048,Air India,CCU,DEL,CCU → DEL,23:41.7,15:41.7,4/20/2026,22,232,TRUE,FALSE,Valid
SJ112,SpiceJet,HYD,DEL,HYD → DEL,20:41.7,40:41.7,4/20/2026,22,140,TRUE,FALSE,Valid
6F164,IndiGo,BLR,BOM,BLR → BOM,18:41.7,45:41.7,4/20/2026,22,147,TRUE,FALSE,Valid
UK021,Vistara,HYD,MAA,HYD → MAA,00:41.7,50:41.7,4/20/2026,22,110,FALSE,FALSE,Valid
SJ172,SpiceJet,CCU,DEL,CCU → DEL,58:41.7,14:41.7,4/20/2026,21,196,TRUE,FALSE,Valid
AI060,Air India,DEL,HYD,DEL → HYD,58:41.7,51:41.7,4/20/2026,21,113,FALSE,FALSE,Valid
SJ205,SpiceJet,HYD,CCU,HYD → CCU,56:41.7,00:41.7,4/20/2026,21,64,FALSE,FALSE,Valid
SJ093,SpiceJet,BLR,BOM,BLR → BOM,55:41.7,01:41.7,4/20/2026,21,66,FALSE,FALSE,Valid
6F195,IndiGo,CCU,DEL,CCU → DEL,44:41.7,39:41.7,4/20/2026,21,55,FALSE,FALSE,Valid
UK003,Vistara,HYD,DEL,HYD → DEL,41:41.7,19:41.7,4/20/2026,21,278,TRUE,FALSE,Valid
UK026,Vistara,HYD,MAA,HYD → MAA,38:41.7,44:41.7,4/20/2026,21,126,FALSE,FALSE,Valid
6F174,IndiGo,DEL,HYD,DEL → HYD,36:41.7,16:41.7,4/20/2026,21,40,FALSE,FALSE,Valid
UK067,Vistara,BOM,CCU,BOM → CCU,36:41.7,02:41.7,4/20/2026,21,206,TRUE,FALSE,Valid
SJ149,SpiceJet,HYD,MAA,HYD → MAA,20:41.7,20:42.0,4/20/2026,21,120.0049667,FALSE,FALSE,Valid
6F213,IndiGo,BLR,BOM,BLR → BOM,05:41.7,32:41.7,4/20/2026,21,207,TRUE,FALSE,Valid
UK200,Vistara,CCU,DEL,CCU → DEL,54:41.7,45:41.7,4/20/2026,20,111,FALSE,FALSE,Valid
SJ214,SpiceJet,BOM,MAA,BOM → MAA,54:41.7,10:41.7,4/20/2026,20,76,FALSE,FALSE,Valid
SJ047,SpiceJet,HYD,BOM,HYD → BOM,44:41.7,21:41.7,4/20/2026,20,37,FALSE,FALSE,Valid
AI179,Air India,HYD,BOM,HYD → BOM,41:41.7,19:41.7,4/20/2026,20,278,TRUE,FALSE,Valid
SJ153,SpiceJet,DEL,CCU,DEL → CCU,37:41.7,00:41.7,4/20/2026,20,83,FALSE,FALSE,Valid
6F236,IndiGo,BOM,DEL,BOM → DEL,35:41.7,54:41.7,4/20/2026,20,199,FALSE,FALSE,Valid
UK059,Vistara,HYD,MAA,HYD → MAA,33:41.7,10:41.7,4/20/2026,20,97,FALSE,FALSE,Valid
SJ001,SpiceJet,BOM,MAA,BOM → MAA,28:41.7,15:41.7,4/20/2026,20,287,TRUE,FALSE,Valid
SJ049,SpiceJet,CCU,DEL,CCU → DEL,26:41.7,26:41.7,4/20/2026,20,240,TRUE,FALSE,Valid
6F086,IndiGo,MAA,HYD,MAA → HYD,23:41.7,00:41.7,4/20/2026,20,37,FALSE,FALSE,Valid
AI220,Air India,BOM,DEL,BOM → DEL,19:41.7,57:41.7,4/20/2026,20,98,FALSE,FALSE,Valid
AI188,Air India,CCU,HYD,CCU → HYD,16:41.7,02:41.7,4/20/2026,20,166,FALSE,FALSE,Valid
6F114,IndiGo,BOM,MAA,BOM → MAA,10:41.7,00:41.7,4/20/2026,20,50,FALSE,FALSE,Valid
SJ179,SpiceJet,DEL,HYD,DEL → HYD,09:41.7,39:41.7,4/20/2026,20,210,FALSE,FALSE,Valid
6F190,IndiGo,DEL,MAA,DEL → MAA,02:41.7,36:41.7,4/20/2026,20,274,TRUE,FALSE,Valid
SJ003,SpiceJet,MAA,CCU,MAA → CCU,50:41.7,32:41.7,4/20/2026,19,42,FALSE,FALSE,Valid
6F028,IndiGo,HYD,CCU,HYD → CCU,49:41.7,49:41.7,4/20/2026,19,120,FALSE,FALSE,Valid
UK036,Vistara,CCU,BLR,CCU → BLR,48:41.7,12:41.7,4/20/2026,19,264,TRUE,FALSE,Valid
SJ160,SpiceJet,MAA,BLR,MAA → BLR,45:41.7,30:41.7,4/20/2026,19,45,FALSE,FALSE,Valid
6F151,IndiGo,CCU,HYD,CCU → HYD,44:41.7,04:41.7,4/20/2026,19,140,FALSE,FALSE,Valid
UK140,Vistara,MAA,BLR,MAA → BLR,37:41.7,00:41.7,4/20/2026,19,83,FALSE,FALSE,Valid
AI115,Air India,MAA,BLR,MAA → BLR,37:41.7,26:41.7,4/20/2026,19,289,TRUE,FALSE,Valid
AI132,Air India,BLR,BOM,BLR → BOM,32:41.7,41:41.7,4/20/2026,19,129,FALSE,FALSE,Valid
UK209,Vistara,MAA,BLR,MAA → BLR,02:41.7,47:41.7,4/20/2026,19,165,FALSE,FALSE,Valid
SJ043,SpiceJet,MAA,DEL,MAA → DEL,59:41.7,08:41.7,4/20/2026,18,129,FALSE,FALSE,Valid
UK176,Vistara,HYD,BLR,HYD → BLR,41:41.7,49:41.7,4/20/2026,18,248,FALSE,FALSE,Valid
UK216,Vistara,MAA,HYD,MAA → HYD,33:41.7,47:41.7,4/20/2026,18,194,FALSE,FALSE,Valid
UK150,Vistara,DEL,CCU,DEL → CCU,31:41.7,01:41.7,4/20/2026,18,30,FALSE,FALSE,Valid
UK145,Vistara,BOM,HYD,BOM → HYD,30:41.7,41:41.7,4/20/2026,18,131,FALSE,FALSE,Valid
6F270,IndiGo,HYD,MAA,HYD → MAA,14:41.7,02:41.7,4/20/2026,18,48,FALSE,FALSE,Valid
6F012,IndiGo,CCU,HYD,CCU → HYD,06:41.7,31:41.7,4/20/2026,18,205,FALSE,FALSE,Valid
SJ236,SpiceJet,MAA,BOM,MAA → BOM,03:41.7,02:41.7,4/20/2026,18,239,FALSE,FALSE,Valid
6F149,IndiGo,BLR,CCU,BLR → CCU,57:41.7,42:41.7,4/20/2026,17,165,FALSE,FALSE,Valid
UK004,Vistara,BOM,CCU,BOM → CCU,56:41.7,30:41.7,4/20/2026,17,34,FALSE,FALSE,Valid
UK010,Vistara,MAA,HYD,MAA → HYD,53:41.7,40:41.7,4/20/2026,17,167,FALSE,FALSE,Valid
UK215,Vistara,BOM,DEL,BOM → DEL,38:41.7,50:41.7,4/20/2026,17,132,FALSE,FALSE,Valid
SJ116,SpiceJet,HYD,CCU,HYD → CCU,33:41.7,02:41.7,4/20/2026,17,89,FALSE,FALSE,Valid
SJ023,SpiceJet,HYD,MAA,HYD → MAA,27:41.7,09:41.7,4/20/2026,17,102,FALSE,FALSE,Valid
UK152,Vistara,BOM,CCU,BOM → CCU,24:41.7,13:41.7,4/20/2026,17,169,FALSE,FALSE,Valid
SJ202,SpiceJet,CCU,HYD,CCU → HYD,21:41.7,08:41.7,4/20/2026,17,107,FALSE,FALSE,Valid
6F043,IndiGo,BOM,HYD,BOM → HYD,17:41.7,43:41.7,4/20/2026,17,86,FALSE,FALSE,Valid
UK173,Vistara,MAA,BLR,MAA → BLR,06:41.7,22:41.7,4/20/2026,17,256,FALSE,FALSE,Valid
SJ081,SpiceJet,BOM,BLR,BOM → BLR,04:41.7,53:41.7,4/20/2026,17,109,FALSE,FALSE,Valid
UK153,Vistara,CCU,HYD,CCU → HYD,52:41.7,53:41.7,4/20/2026,16,241,FALSE,FALSE,Valid
UK187,Vistara,BLR,BOM,BLR → BOM,52:41.7,42:41.7,4/20/2026,16,110,FALSE,FALSE,Valid
UK055,Vistara,HYD,DEL,HYD → DEL,48:41.7,31:41.7,4/20/2026,16,163,FALSE,FALSE,Valid
UK181,Vistara,MAA,DEL,MAA → DEL,44:41.7,26:41.7,4/20/2026,16,162,FALSE,FALSE,Valid
UK074,Vistara,BOM,DEL,BOM → DEL,44:41.7,41:41.7,4/20/2026,16,117,FALSE,FALSE,Valid
SJ068,SpiceJet,BLR,BOM,BLR → BOM,44:41.7,48:41.7,4/20/2026,16,124,FALSE,FALSE,Valid
AI242,Air India,BLR,CCU,BLR → CCU,41:41.7,43:41.7,4/20/2026,16,62,FALSE,FALSE,Valid
SJ237,SpiceJet,BOM,CCU,BOM → CCU,32:41.7,00:41.7,4/20/2026,16,148,FALSE,FALSE,Valid
6F194,IndiGo,BOM,CCU,BOM → CCU,29:41.7,27:41.7,4/20/2026,16,118,FALSE,FALSE,Valid
UK063,Vistara,DEL,BOM,DEL → BOM,29:41.7,41:41.7,4/20/2026,16,72,FALSE,FALSE,Valid
UK068,Vistara,BLR,MAA,BLR → MAA,28:41.7,09:41.7,4/20/2026,16,101,FALSE,FALSE,Valid
UK224,Vistara,CCU,MAA,CCU → MAA,25:41.7,24:41.7,4/20/2026,16,239,FALSE,FALSE,Valid
UK077,Vistara,HYD,BOM,HYD → BOM,22:41.7,00:41.7,4/20/2026,16,98,FALSE,FALSE,Valid
UK207,Vistara,MAA,CCU,MAA → CCU,21:41.7,36:41.7,4/20/2026,16,75,FALSE,FALSE,Valid
AI221,Air India,MAA,HYD,MAA → HYD,18:41.7,54:41.7,4/20/2026,16,156,FALSE,FALSE,Valid
UK109,Vistara,BLR,BOM,BLR → BOM,06:41.7,06:42.0,4/20/2026,16,60.00496667,FALSE,FALSE,Valid
UK089,Vistara,BOM,HYD,BOM → HYD,38:41.7,50:41.7,4/20/2026,15,252,FALSE,FALSE,Valid
AI072,Air India,BLR,CCU,BLR → CCU,34:41.7,32:41.7,4/20/2026,15,58,FALSE,FALSE,Valid
UK131,Vistara,BOM,DEL,BOM → DEL,33:41.7,39:41.7,4/20/2026,15,246,FALSE,FALSE,Valid
SJ150,SpiceJet,BOM,HYD,BOM → HYD,33:41.7,03:41.7,4/20/2026,15,210,FALSE,FALSE,Valid
6F097,IndiGo,BLR,BOM,BLR → BOM,32:41.7,49:41.7,4/20/2026,15,77,FALSE,FALSE,Valid
6F123,IndiGo,DEL,HYD,DEL → HYD,26:41.7,12:41.7,4/20/2026,15,106,FALSE,FALSE,Valid
6F017,IndiGo,CCU,BOM,CCU → BOM,25:41.7,06:41.7,4/20/2026,15,161,FALSE,FALSE,Valid
6F245,IndiGo,CCU,BOM,CCU → BOM,25:41.7,06:41.7,4/20/2026,15,161,FALSE,FALSE,Valid
6F180,IndiGo,MAA,BLR,MAA → BLR,24:41.7,48:41.7,4/20/2026,15,264,FALSE,FALSE,Valid
6F152,IndiGo,CCU,DEL,CCU → DEL,21:41.7,25:41.7,4/20/2026,15,124,FALSE,FALSE,Valid
SJ034,SpiceJet,MAA,BOM,MAA → BOM,20:41.7,11:41.7,4/20/2026,15,291,FALSE,FALSE,Valid
SJ142,SpiceJet,CCU,BOM,CCU → BOM,14:41.7,56:41.7,4/20/2026,15,102,FALSE,FALSE,Valid
UK189,Vistara,BLR,MAA,BLR → MAA,07:41.7,51:41.7,4/20/2026,15,224,FALSE,FALSE,Valid
SJ044,SpiceJet,DEL,CCU,DEL → CCU,06:41.7,43:41.7,4/20/2026,15,157,FALSE,FALSE,Valid
SJ196,SpiceJet,DEL,HYD,DEL → HYD,58:41.7,44:41.7,4/20/2026,14,166,FALSE,FALSE,Valid
6F188,IndiGo,DEL,HYD,DEL → HYD,57:41.7,39:41.7,4/20/2026,14,282,FALSE,FALSE,Valid
6F181,IndiGo,BOM,MAA,BOM → MAA,55:41.7,43:41.7,4/20/2026,14,108,FALSE,FALSE,Valid
6F077,IndiGo,CCU,DEL,CCU → DEL,55:41.7,13:41.7,4/20/2026,14,258,FALSE,FALSE,Valid
SJ154,SpiceJet,BLR,HYD,BLR → HYD,47:41.7,26:41.7,4/20/2026,14,99,FALSE,FALSE,Valid
AI025,Air India,HYD,DEL,HYD → DEL,46:41.7,11:41.7,4/20/2026,14,145,FALSE,FALSE,Valid
AI094,Air India,DEL,BLR,DEL → BLR,44:41.7,44:42.0,4/20/2026,14,60.00496667,FALSE,FALSE,Valid
6F191,IndiGo,BLR,DEL,BLR → DEL,41:41.7,11:41.7,4/20/2026,14,30,FALSE,FALSE,Valid
SJ085,SpiceJet,BLR,MAA,BLR → MAA,41:41.7,11:41.7,4/20/2026,14,270,FALSE,FALSE,Valid
6F261,IndiGo,CCU,DEL,CCU → DEL,31:41.7,29:41.7,4/20/2026,14,178,FALSE,FALSE,Valid
6F129,IndiGo,DEL,CCU,DEL → CCU,28:41.7,47:41.7,4/20/2026,14,139,FALSE,FALSE,Valid
6F254,IndiGo,MAA,BLR,MAA → BLR,26:41.7,01:41.7,4/20/2026,14,215,FALSE,FALSE,Valid
SJ185,SpiceJet,BOM,CCU,BOM → CCU,21:41.7,21:41.7,4/20/2026,14,60,FALSE,FALSE,Valid
6F030,IndiGo,BOM,DEL,BOM → DEL,20:41.7,10:41.7,4/20/2026,14,170,FALSE,FALSE,Valid
SJ222,SpiceJet,BOM,DEL,BOM → DEL,15:41.7,09:41.7,4/20/2026,14,174,FALSE,FALSE,Valid
6F259,IndiGo,BOM,DEL,BOM → DEL,10:41.7,21:41.7,4/20/2026,14,71,FALSE,FALSE,Valid
UK083,Vistara,DEL,HYD,DEL → HYD,10:41.7,59:41.7,4/20/2026,14,49,FALSE,FALSE,Valid
6F051,IndiGo,BLR,BOM,BLR → BOM,58:41.7,58:41.7,4/20/2026,13,120,FALSE,FALSE,Valid
SJ088,SpiceJet,CCU,MAA,CCU → MAA,54:41.7,26:41.7,4/20/2026,13,32,FALSE,FALSE,Valid
6F146,IndiGo,HYD,MAA,HYD → MAA,51:41.7,07:41.7,4/20/2026,13,76,FALSE,FALSE,Valid
6F047,IndiGo,MAA,DEL,MAA → DEL,50:41.7,55:41.7,4/20/2026,13,125,FALSE,FALSE,Valid
AI077,Air India,CCU,HYD,CCU → HYD,45:41.7,51:41.7,4/20/2026,13,66,FALSE,FALSE,Valid
UK134,Vistara,HYD,CCU,HYD → CCU,44:41.7,26:41.7,4/20/2026,13,222,FALSE,FALSE,Valid
AI056,Air India,DEL,MAA,DEL → MAA,44:41.7,39:41.7,4/20/2026,13,235,FALSE,FALSE,Valid
UK141,Vistara,HYD,MAA,HYD → MAA,38:41.7,59:41.7,4/20/2026,13,141,FALSE,FALSE,Valid
AI030,Air India,CCU,HYD,CCU → HYD,33:41.7,52:41.7,4/20/2026,13,199,FALSE,FALSE,Valid
AI029,Air India,MAA,DEL,MAA → DEL,29:41.7,53:41.7,4/20/2026,13,264,FALSE,FALSE,Valid
SJ167,SpiceJet,MAA,CCU,MAA → CCU,18:41.7,12:41.7,4/20/2026,13,54,FALSE,FALSE,Valid
UK017,Vistara,BLR,HYD,BLR → HYD,14:41.7,49:41.7,4/20/2026,13,95,FALSE,FALSE,Valid
6F229,IndiGo,MAA,DEL,MAA → DEL,10:41.7,30:41.7,4/20/2026,13,80,FALSE,FALSE,Valid
SJ117,SpiceJet,MAA,BLR,MAA → BLR,10:41.7,06:41.7,4/20/2026,13,236,FALSE,FALSE,Valid
6F184,IndiGo,MAA,BOM,MAA → BOM,05:41.7,04:41.7,4/20/2026,13,179,FALSE,FALSE,Valid
AI031,Air India,DEL,MAA,DEL → MAA,05:41.7,11:41.7,4/20/2026,13,186,FALSE,FALSE,Valid
AI178,Air India,CCU,BLR,CCU → BLR,04:41.7,03:41.7,4/20/2026,13,59,FALSE,FALSE,Valid
SJ089,SpiceJet,HYD,CCU,HYD → CCU,42:41.7,15:41.7,4/20/2026,12,273,FALSE,FALSE,Valid
UK166,Vistara,HYD,MAA,HYD → MAA,39:41.7,32:41.7,4/20/2026,12,293,FALSE,FALSE,Valid
UK104,Vistara,DEL,BOM,DEL → BOM,30:41.7,52:41.7,4/20/2026,12,82,FALSE,FALSE,Valid
6F168,IndiGo,HYD,DEL,HYD → DEL,18:41.7,58:41.7,4/20/2026,12,220,FALSE,FALSE,Valid
AI222,Air India,BOM,DEL,BOM → DEL,10:41.7,14:41.7,4/20/2026,12,64,FALSE,FALSE,Valid
SJ025,SpiceJet,BOM,CCU,BOM → CCU,02:41.7,29:41.7,4/20/2026,12,207,FALSE,FALSE,Valid
6F255,IndiGo,DEL,BOM,DEL → BOM,59:41.7,33:41.7,4/20/2026,11,214,FALSE,FALSE,Valid
UK228,Vistara,DEL,MAA,DEL → MAA,58:41.7,08:41.7,4/20/2026,11,190,FALSE,FALSE,Valid
6F158,IndiGo,CCU,MAA,CCU → MAA,58:41.7,04:41.7,4/20/2026,11,246,FALSE,FALSE,Valid
SJ218,SpiceJet,DEL,HYD,DEL → HYD,58:41.7,03:41.7,4/20/2026,11,185,FALSE,FALSE,Valid
6F034,IndiGo,BOM,DEL,BOM → DEL,53:41.7,49:41.7,4/20/2026,11,56,FALSE,FALSE,Valid
UK156,Vistara,MAA,BLR,MAA → BLR,50:41.7,54:41.7,4/20/2026,11,244,FALSE,FALSE,Valid
6F105,IndiGo,BLR,BOM,BLR → BOM,46:41.7,58:41.7,4/20/2026,11,72,FALSE,FALSE,Valid
6F073,IndiGo,DEL,CCU,DEL → CCU,38:41.7,18:41.7,4/20/2026,11,220,FALSE,FALSE,Valid
SJ074,SpiceJet,DEL,CCU,DEL → CCU,21:41.7,02:41.7,4/20/2026,11,41,FALSE,FALSE,Valid
6F234,IndiGo,BOM,DEL,BOM → DEL,20:41.7,11:41.7,4/20/2026,11,171,FALSE,FALSE,Valid
6F068,IndiGo,BLR,HYD,BLR → HYD,17:41.7,06:41.7,4/20/2026,11,229,FALSE,FALSE,Valid
6F074,IndiGo,HYD,BOM,HYD → BOM,09:41.7,29:41.7,4/20/2026,11,200,FALSE,FALSE,Valid
AI038,Air India,HYD,MAA,HYD → MAA,05:41.7,44:41.7,4/20/2026,11,279,FALSE,FALSE,Valid
AI079,Air India,CCU,BLR,CCU → BLR,04:41.7,19:41.7,4/20/2026,11,135,FALSE,FALSE,Valid
SJ018,SpiceJet,BOM,CCU,BOM → CCU,58:41.7,31:41.7,4/20/2026,10,153,FALSE,FALSE,Valid
6F018,IndiGo,DEL,BLR,DEL → BLR,57:41.7,43:41.7,4/20/2026,10,46,FALSE,FALSE,Valid
AI091,Air India,CCU,MAA,CCU → MAA,52:41.7,15:41.7,4/20/2026,10,263,FALSE,FALSE,Valid
UK071,Vistara,DEL,HYD,DEL → HYD,50:41.7,06:41.7,4/20/2026,10,196,FALSE,FALSE,Valid
AI019,Air India,BOM,CCU,BOM → CCU,49:41.7,51:41.7,4/20/2026,10,62,FALSE,FALSE,Valid
UK212,Vistara,HYD,MAA,HYD → MAA,46:41.7,31:41.7,4/20/2026,10,45,FALSE,FALSE,Valid
AI146,Air India,BLR,DEL,BLR → DEL,40:41.7,46:41.7,4/20/2026,10,186,FALSE,FALSE,Valid
6F232,IndiGo,MAA,BLR,MAA → BLR,39:41.7,22:41.7,4/20/2026,10,103,FALSE,FALSE,Valid
6F084,IndiGo,CCU,HYD,CCU → HYD,34:41.7,34:42.0,4/20/2026,10,60.00496667,FALSE,FALSE,Valid
AI129,Air India,BOM,CCU,BOM → CCU,29:41.7,38:41.7,4/20/2026,10,189,FALSE,FALSE,Valid
AI240,Air India,MAA,DEL,MAA → DEL,19:41.7,46:41.7,4/20/2026,10,147,FALSE,FALSE,Valid
6F091,IndiGo,BLR,CCU,BLR → CCU,10:41.7,36:41.7,4/20/2026,10,86,FALSE,FALSE,Valid
UK133,Vistara,BOM,DEL,BOM → DEL,04:41.7,16:41.7,4/20/2026,10,192,FALSE,FALSE,Valid
SJ007,SpiceJet,BOM,CCU,BOM → CCU,03:41.7,53:41.7,4/20/2026,10,290,FALSE,FALSE,Valid
SJ141,SpiceJet,CCU,DEL,CCU → DEL,00:41.7,37:41.7,4/20/2026,10,217,FALSE,FALSE,Valid
6F049,IndiGo,HYD,DEL,HYD → DEL,00:41.7,13:41.7,4/20/2026,10,193,FALSE,FALSE,Valid
SJ235,SpiceJet,BOM,DEL,BOM → DEL,57:41.7,45:41.7,4/20/2026,9,228,FALSE,FALSE,Valid
UK087,Vistara,HYD,MAA,HYD → MAA,49:41.7,17:41.7,4/20/2026,9,208,FALSE,FALSE,Valid
UK170,Vistara,BOM,BLR,BOM → BLR,42:41.7,32:41.7,4/20/2026,9,110,FALSE,FALSE,Valid
SJ078,SpiceJet,DEL,HYD,DEL → HYD,41:41.7,49:41.7,4/20/2026,9,188,FALSE,FALSE,Valid
SJ075,SpiceJet,MAA,BLR,MAA → BLR,26:41.7,03:41.7,4/20/2026,9,97,FALSE,FALSE,Valid
AI159,Air India,HYD,BLR,HYD → BLR,23:41.7,36:41.7,4/20/2026,9,133,FALSE,FALSE,Valid
UK120,Vistara,HYD,DEL,HYD → DEL,19:41.7,30:41.7,4/20/2026,9,251,FALSE,FALSE,Valid
AI059,Air India,CCU,DEL,CCU → DEL,16:41.7,43:41.7,4/20/2026,9,147,FALSE,FALSE,Valid
UK040,Vistara,HYD,CCU,HYD → CCU,15:41.7,32:41.7,4/20/2026,9,77,FALSE,FALSE,Valid
AI044,Air India,MAA,BLR,MAA → BLR,03:41.7,36:41.7,4/20/2026,9,213,FALSE,FALSE,Valid
AI078,Air India,DEL,BOM,DEL → BOM,58:41.7,28:41.7,4/20/2026,8,270,FALSE,FALSE,Valid
SJ226,SpiceJet,HYD,BOM,HYD → BOM,47:41.7,54:41.7,4/20/2026,8,247,FALSE,FALSE,Valid
6F209,IndiGo,MAA,CCU,MAA → CCU,40:41.7,40:41.7,4/20/2026,8,300,FALSE,FALSE,Valid
UK193,Vistara,HYD,DEL,HYD → DEL,39:41.7,14:41.7,4/20/2026,8,35,FALSE,FALSE,Valid
6F092,IndiGo,MAA,BLR,MAA → BLR,39:41.7,15:41.7,4/20/2026,8,36,FALSE,FALSE,Valid
AI208,Air India,BLR,BOM,BLR → BOM,38:41.7,52:41.7,4/20/2026,8,194,FALSE,FALSE,Valid
SJ227,SpiceJet,BOM,CCU,BOM → CCU,32:41.7,53:41.7,4/20/2026,8,261,FALSE,FALSE,Valid
6F238,IndiGo,BOM,DEL,BOM → DEL,31:41.7,19:41.7,4/20/2026,8,48,FALSE,FALSE,Valid
AI084,Air India,BOM,HYD,BOM → HYD,31:41.7,46:41.7,4/20/2026,8,75,FALSE,FALSE,Valid
SJ228,SpiceJet,BOM,CCU,BOM → CCU,29:41.7,16:41.7,4/20/2026,8,227,FALSE,FALSE,Valid
UK194,Vistara,CCU,BOM,CCU → BOM,26:41.7,26:42.0,4/20/2026,8,60.00495,FALSE,FALSE,Valid
6F126,IndiGo,CCU,MAA,CCU → MAA,21:41.7,39:41.7,4/20/2026,8,78,FALSE,FALSE,Valid
SJ052,SpiceJet,MAA,BLR,MAA → BLR,20:41.7,57:41.7,4/20/2026,8,97,FALSE,FALSE,Valid
AI233,Air India,BLR,BOM,BLR → BOM,04:41.7,52:41.7,4/20/2026,8,108,FALSE,FALSE,Valid
AI213,Air India,HYD,CCU,HYD → CCU,03:41.7,14:41.7,4/20/2026,8,71,FALSE,FALSE,Valid
UK076,Vistara,MAA,CCU,MAA → CCU,03:41.7,26:41.7,4/20/2026,8,263,FALSE,FALSE,Valid
SJ022,SpiceJet,DEL,BLR,DEL → BLR,56:41.7,07:41.7,4/20/2026,7,191,FALSE,FALSE,Valid
SJ002,SpiceJet,DEL,BOM,DEL → BOM,54:41.7,40:41.7,4/20/2026,7,286,FALSE,FALSE,Valid
AI163,Air India,HYD,MAA,HYD → MAA,45:41.7,46:41.7,4/20/2026,7,61,FALSE,FALSE,Valid
UK229,Vistara,HYD,DEL,HYD → DEL,40:41.7,57:41.7,4/20/2026,7,257,FALSE,FALSE,Valid
UK185,Vistara,DEL,MAA,DEL → MAA,31:41.7,48:41.7,4/20/2026,7,77,FALSE,FALSE,Valid
6F029,IndiGo,BOM,BLR,BOM → BLR,31:41.7,45:41.7,4/20/2026,7,254,FALSE,FALSE,Valid
6F056,IndiGo,BOM,MAA,BOM → MAA,00:41.7,49:41.7,4/20/2026,7,109,FALSE,FALSE,Valid
AI062,Air India,MAA,DEL,MAA → DEL,49:41.7,25:41.7,4/20/2026,6,36,FALSE,FALSE,Valid
UK034,Vistara,DEL,BLR,DEL → BLR,47:41.7,11:41.7,4/20/2026,6,204,FALSE,FALSE,Valid
UK079,Vistara,DEL,BLR,DEL → BLR,43:41.7,34:41.7,4/20/2026,6,231,FALSE,FALSE,Valid
AI135,Air India,BLR,BOM,BLR → BOM,40:41.7,21:41.7,4/20/2026,6,161,FALSE,FALSE,Valid
SJ061,SpiceJet,MAA,BLR,MAA → BLR,38:41.7,35:41.7,4/20/2026,6,177,FALSE,FALSE,Valid
AI047,Air India,CCU,MAA,CCU → MAA,36:41.7,23:41.7,4/20/2026,6,47,FALSE,FALSE,Valid
UK210,Vistara,DEL,CCU,DEL → CCU,35:41.7,30:41.7,4/20/2026,6,55,FALSE,FALSE,Valid
AI088,Air India,MAA,DEL,MAA → DEL,34:41.7,10:41.7,4/20/2026,6,216,FALSE,FALSE,Valid
UK177,Vistara,DEL,HYD,DEL → HYD,21:41.7,50:41.7,4/20/2026,6,269,FALSE,FALSE,Valid
AI128,Air India,BOM,CCU,BOM → CCU,07:41.7,03:41.7,4/20/2026,6,236,FALSE,FALSE,Valid
